Company Name, Telephone, Fax, Email
EXTRO MACHINERY TRADING SDN BHD, 07-511 6113, 07-511 3112, enquiry@forward9.com
EXCEL METAL INDUSTRIES SDN BHD, 07-386 1195, 07-386 1195, globallhardware@yahoo.com.sg
ETS TRADING & ENGINEERING, 07-333 7900£¬07-331 8077, 07-333 9273, globalhardware@gmail.com
EVERPLUS HARDWARE TRADING, 07-354 4588£¬016-733 7588, 07-354 4588, service@guankee.com
FOKLIEN HARDWARE (M) SDN BHD, 012-717 9830, 07-782 8559, cspuah@gimmit.com
FT HARDWARE SDN BHD, 07-351 4117, 07-351 5117, fongtecklee@yahoo.com.my
FORWARD SOLUTION ENGINEERING SDN BHD, 07-352 3837£¬07-351 5210, 07-351 5375, genglai4417@gmail.com
GLOBALL HARDWARE & MACHINERY SDN BHD, 07-351 5899 |  07-353 5488, 07-351 7899, guanshengbm@gmail.com
GUAN HONG HARDWARE SDN BHD, 07-252 2737, 07-252 2731, guochanghardware183@gmail.com
GUAN KEE ENTERPRISE SDN BHD, 07-355 6818, 07-355 7872, hupseng6886@hotmail.com
GIM SENG HARDWARE, 07-255 5044, 07-251 2817, hiapleong@gmail.com
GINMIT TRADING SDN BHD, 07-237 9995, 07-237 9995, hfh8837@yahoo.com
¼ÑÌÚ½¨²Ä¹©Ó¦ÉÌ, 07-354 5020 | 07-354 7406, 07-354 7409, hs_mhjb@live.com
GADING HARDWARE SUPPLIER, 07-562 1683 |  017-361 8529, 07-562 1683, hhmetaljb@gmail.com
Ó­À´Ã³Ò×¹«Ë¾, 07-353 3630, 07-771 5581, hockenghardwareco@gmail.com
GENG LAI TRADING CO., 07-772 7755, 07-883 4940, hydros.co@live.com
GUAN SHENG BUILDING MATERIALS SDN BHD, 07-883 5391, 07-359 5666/777/888, hkcanvas@gmail.com
GUO CHANG HARDWARE SDN BHD, 07-359 5222, 07-356 2522£¬07-356 2328, nisorawmaterials@gmail.com
HARVEST ENGINEERING SDN BHD, 07-356 2526, 07-352 0852£¬07-352 0853, johorbahru@ipmuda.com.my
HUP SENG HARDWARE & MACHINERY TRADING, 07-355 0851, 07-556 3779 |  07-556 3781, inghan11@hotmail.com
HIAP LEONG CONTRUCTION & HARDWARE SUPPLIER, 07-556 0973, 07-434 3321, innocham@yahoo.com
HUI FOOK HARDWARE SDN BHD, 07-434 5321, 07-351 1487, jimmy@innochamp.com.my
H.S. MACHINERY & HARDWARE SDN BHD, 07-351 1437, 07-239 6626, account@intagsteel.com
HH METAL SDN BHD, 07-775 9801, 07-333 0823£¬07-333 3378, johstarjb@hotmail.com
HOCK ENG HARDWARE COMPANY, 07-333 2011, 07-354 2325£¬07-354 2327, manli_8@yahoo.com
HYDROS SDN BHD, 07-354 2200, 07-236 2814, steventang@jpnelson.com.sg
H K CANVAS ENTERPRISE, 07-236 2396, 07-352 3339 |  016-717 3770, jbfast2009@hotmail.com
HISO RAW MATERIALS SDN BHD, 07-352 9333, 07-599 1831 |  07-599 8070, junfa2647@gmail.com
IPMUDA SELATAN SDN BHD, 07-598 3399, 07-332 1148£¬07-331 5766, hammcp123@gmail.com
ING HAN ENTERPRISE SDN BHD, 07-332 7670, 07-353 9991, kahyew@tm.net.my
INNOCHAMP MACHINE TOOLS SDN BHD, 07-358 1992, 07-5565717 |  07-556 5718, kwaylintimber@hotmail.com
INTAG STEEL HARDWARE SDN BHD, 07-5577696, 07-6994232, sales@kenyin.com
JOHSTAR TRADING SDN BHD, 07-6994142, 07-652 2949, tankicthwe@hotmail.com
732 (PTD 41349), 07-652 1950, 07-332 5594 |  07-332 5595, kongkionghardware@gmail.com
JU SENG HONG (M) SDN BHD, 07-3348390, 07-932 2876, 0208lim@gmail.com
JP NELSON EQUIPMENT (J) SDN BHD, 07-931 2584, 06-951 3181, admin@kht.com.my
JB FAST CONSTRUCTION SDN BHD, 06-951 8668, 07-332 6246 |  07-332 2801, skh_hardware@hotmail.com
JUN FA MACHINERY & HARDWARE INDUSTRY, 07-332 1302, 07-931 2187, kimsuansb@gmail.com
KOR GIAP TRADING SDN BHD, 07-931 2187, 07-891 8236, kowhock9833@yahoo.com.sg
KAH YEW ENTERPRISE SDN BHD, 07-891 8335, 07-435 1466 |  012-723 1466, kenhoetrading@gmail.com
KUAH BROTHERS HARDWARE SDN BHD, 07-434 9466, 06-987 3001, owentiong@yahoo.com
KWAY LIN TIMBER MERCHANT SDN BHD, 06-987 3388, 07-351 3393, kkchanhardware@gmail.com
KENYIN HARDWARE SDN BHD, 07-358 3393, 07-863 1606 |  012-782 5511, lc.lim@limup.com.my
KIM AND KIM SDN BHD, 07-863 1606, 07-861 0835, limupind@yahoo.com
KONG KIONG HARDWARE, 07-867 1575, 07-687 8236, martinteo@linhoo.com
KIM RONG HARDWARE TRADING, 07-687 3991, 07-558 9833, lgthardware@gmail.com
KIM HOE THYE & CO., 07-554 3126, 07-334 5140, salesdiv@lcgjapmas.com
KIM HUAT HARDWARE (M) SDN BHD, 07-333 8961, 07-237 1155, lengteckgoh@gmail.com
KIM SUAN SDN BHD, 07-236 4636, 07-380 8969, lensenghardware@hotmail.com
K.K.TAN HARDWARE & BUILDING MATERIALS, 07-235 8991 |  07-235 8992, 07-235 8990, lianhong2791@yahoo.com
KA SONG HARDWARE & TRADING, 07-662 2253, 07-662 2257, ccboo97@yahoo.com
KOW HOCK BUILDING MATERIALS (M) SDN BHD, 07-520 1901, 07-520 4709, lienyew996@hotmail.com
¾´ºÃÃ³Ò×ÓÐÏÞ¹«Ë¾, 07-237 6280 |  07-237 6281 |  07-237 6282 |  07-237 6284, 07-236 0655, sales@sbnbiz.com
KEN HOE TRADING SDN BHD, 07-351 5970 |  012-709 6862, 07-353 7312, lyconcreteproducts.sb@hotmail.com
KIM SENG QUARRY CO. (1965)SDN BHD, 07-353 7323, 07-356 0026 |  07-356 0027, lykjacob@gmail.com
KK CHAN HARDWARE & ENTERPRISE SDN BHD, 07-354 6109, 07-354 9641  |  07-354 4194, lbtimber@gmail.com
LIM TIK TING & SONS SDN BHD, 07-652 2743, 07-354 1789, linshantrading@gmail.com
LIM U-LEE BAHAN-BAHAN BINAAN & LOGAM SDN BHD, 07-354 2436, 07-333 2496 |  07-333 8450, lmtsb@live.com.my
LIM-UP ENTERPRISE SDN BHD, 07-332 1177, 07-557 1032 |  07-557 1043, ck.lee@leeheng.com.my
LIN HOO BROTHERS SDN BHD, 07-558 9607, 07-331 2901, logam.shengli@hotmail.com
L & G HARDWARE & MACHINERY TRADING, 07-331 4662, 07-236 1372, lian_thaihardware@hotmail.com
LEE CHUAN GUAN STEEL SDN BHD, 07-237 9023, 07-883 1199, lteehardware@gmail.com
LEE SENG HARDWARE (JOHOR) SDN BHD, 07-883 9911, 07-772 1936, lim47trading@gmail.com
LENG TECK SDN BHD, 07-772 1016, 07-241 1262 |  07-241 2942, phchon@multi.com.my
LENG YONG BUILDING MATERIALS SDN BHD, 07-241 1943, 07-388 2521, mabosa-kp@mabosa.com
LENSENG HARDWARE & MACHINERY SDN BHD, 07-388 5319, 07-883 1713 |  07-883 0000, cwlim56@streamyx.com
LIAN HONG BUILDMART SDN BHD, 07-883 2403, 07-332 4068, mfjksb@streamyx.com
ÁªºÏË³ÓÐÏÞ¹«Ë¾, 07-334 6559, 07-415 1132, cpcho@mrmarks.com
LIAN HUP SOON DEVELOPMENT SDN BHD, 07-415 1133, 07-428 6363, phchon@multi.com.my
ÁªÔ£Ã³Ò×ÓÐÏÞ¹«Ë¾, 07-428 7233, 07-433 9921, megahphardware@gmail.com
LIAN JOO TRADING CO SDN BHD, 07-433 9921, 07-511 5803 |  07-511 2650  |  07-511 6035, mastersb_my@hotmail.com
ÁªË³½¨²ÄÃ³Ò×ÓÐÏÞ¹«Ë¾, 07-512 5418, 07-331 4639 |  07-331 4640, cthor@mctronic.com.my
LIEN SOON MARKETING SDN BHD, 07-333 1090, 07-237 1228 |  07-237 1264, nikkata88@yahoo.com.my
LIEN YEW HARDWARE & MACHINERY SDN BHD, 07-236 6655, 07-554 9112 |  07-288 1229, osea11@streamyx.com
LI GUAN HARDWARE TRADING, 07-554 5809, 012-818 2768 |  016-748 8700, overseasteel@hotmail.com
LIMALOGAM SDN BHD, 07-232 6580, 07-232 6580, olsgroup@yahoo.com
Â¡ÔËÃ³Ò×ÓÐÏÞ¹«Ë¾, 07-351 7616 |  07-351 8616, 07-354 5619, promac93@gmail.com
LOONG YUNG TRADING SDN BHD, 07-354 4290 |  07-353 2276, 07-354 6054, info@pantechcorp.com
LIM YAK KOON & SONS SDN BHD, 07-332 6079 |  07-332 8079, 07-332 1079, admin@paxton.com.my
LB TIMBER INDUSTRIES SDN BHD, 07-354 9576 |  07-354 9577, 07-355 1897, ppg.ind.sb@gmail.com
Á¢É½Ã³Ò×ÓÐÏÞ¹«Ë¾, 07-354 2111, 07-354 2889, admin@easterngroup.com.my
LIH SHAN TRADING SDN BHD, 07-799 1015, 07-238 7480, john_0792@hotmail.com
LEWI MULTI TRADING SDN BHD, 07-238 8061, 07-355 3872 | 07-354 3873, hingbing@streamyx.com
LEE HENG HIGH PRECISION ENGINEERING SDN BHD, 07-355 4076, 07-3545616 | 07-354 5617, k11chong@yahoo.com
LOGAM SHENGLI SDN BHD, 07-3544616, 07-3536469, plhbm@streamyx.com
LIAN HOCK HARDWARE SDN BHD, 07-3500009, 07-5628325, primadeal2008@yahoo.com
LIAN THAI CONSTRUCTION HARDWARE SDN BHD, 07-5628302, 016-7233228, jorge@powertechnic.com.my
L TEE HARDWARE ENTERPRISE, 07-5584228, 07-696 0242, thong@petreline.com.my
LIM-UP TRADING, 07-696 9242, 07-333 8163, rmj@rongmah.com.my
MULTI INDUSTRIAL CHEMICAL SDN BHD, 07-332 6971, 06-986 0886, admin@rongmah.com.my
MABOSA - KP SDN BHD, 06-986 8186, 07-386 8118, sinfuat38@hotmail.com
MAJO SDN BHD, 07-386 8228, 07-354 1721 |  07-354 1734, seehackjb@gmail.com
MASTILE TILING SDN BHD, 07-354 4241, 07-432 7555, siangfatt@gmail.com
MECHTUECO ENTERPRISE (M) SDN BHD, 07-431 0618, 07-353 8854, sales@solid.com.my
MIN FOONG JOO KEE SDN BHD, 07-352 5520, 07-355 0120 |  07-353 6335, stecogroup@gmail.com
MAXON HARDWARE TRADING, 07-355 0119, 07-259 7979, slh_hardware@yahoo.com
MAJOR HARVEST SDN BHD, 07-256 7588 / 07-256 7589, 07-663 2060, syeyitrading@yahoo.com
MULTI INV TRA SDN BHD, 07-353 9644, 07-599 9057 |  07-598 2476, saakthi02@hotmail.com
MEGA HP HARDWARE, 07-598 3115, 07-521 5634, sunlight_sulite@hotmail.com
MASTER HARDWARE SDN BHD, 07-521 4801, 07-353 3129 |  07-355 2129, slfast@streamyx.com
MCTRO HARDWARE SDN BHD, 07-353 3130, 07-883 8740, szeleong6321@gmail.com
ÁºÉ­ÁÖÓÐÏÞ¹«Ë¾, 07-883 4568, 07-232 7073 |  016-710 3499, stemach@hotmail.com
NEO SIM LIM SDN BHD, 07-755 9559, 07-883 3107, sls9352@hotmail.com
NIAN TONG HARDWARE SDN BHD, 07-883 4887, 07-799 1348 |  019-798 8082, sean_loo@sudutswasta.com.my
NIKKATA METAL ROOFING INDUSTRIES SDN BHD, 07-798 2637, 07-387 1102 |  07-387 1103, ttl9678@hotmail.com
OVERSEAS ENGINEERING CORP. SDN BHD, 07-387 1590, 07-355 1011 |  07-355 1811, cwgan@streamyx.com
OVERSEASTEEL HARDWARE & MACHINERY SDN BHD, 07-355 3611, 07-660 8841, mokjew11@hotmail.com
OLS TRADING SDN BHD, 07-660 7007, 07-358 8366, sengdatt@tm.net.my
OIJ HOUSEHOLD ENTERPRISE, 07-358 8677, 07-387 0806, enquiry@shhardware.com.my
PROMAC INDUSTRIAL SUPPLIES, 07-387 4919, 07-236 2261 |  07-236 2262, sinarhardwaremarketing@gmail.com
PANTECH CORPORATION SDN BHD, 07-236 2523, 07-557 6078 | 07-5576079, mail@agrsmart.com
PATELY TRADING, 07-557 6082 | 07-557 6084, 07-772 3855, khtey@solidhardware.com.my
PAXTON ENGINEERING SDN BHD, 07-771 3855, 07-687 3016, sales@solidhardware.com.my
P.P.G INDUSTRIES SDN BHD, 07-686 4830, 07-799 1024 |  07-799 5899 |  07-799 2972, sshhardware@gmail.com
PEMBINAAN EASTERN ALUMINIUM SDN BHD, 07-333 0623 |  07-333 0320, 07-333 8961, dannysiawk@gmail.com
PERNIAGAAN ALUMINIUM DAN CERMIN YEE HENG, 07-333 3586 |  07-333 3660, 07-333 9910, tampoi_hw@hotmail.com
PERNIAGAAN YONG, 07-354 3119 |  07-354 3120, 07-354 4677, towahw@gmail.com
PERNIAGAAN LOGAM HOCK SOON, 07-862 5555, 07-862 5500, admin@cymparts.com
PM HARDWARE & CONSTRUCTION, 07-663 1578 |  07-663 2418, 07-663 7322, tac.air@tm.net.my
PLENTONG LIEN HUAT BUILDING MATERIALS SDN BHD, 07-236 5923, 07-237 7728, tchtsb@hotmail.com
PRIMADEAL MARKETING SDN BHD, 07-774 4062, 07-774 4063, taihoejb@yahoo.com
07-660 7007, 07-861 6721 |  07-861 6735, 07-861 6719, thianli@thianli.com.my
PETROLINE METAL SDN BHD, 07-252 9045£¬07-252 0469, 07-251 0469, tomsengenterprise@gmail.com
RISING BUILDING MATERIAL, 07-863 4396 |  07-863 5923 |  07-863 4478, 07-863 3452, taycb67@streamyx.com
RONG MAH (J) SDN BHD, 07-331 1666 |  07-332 2168 |  07-332 1568, 07-331 8333 |  07-332 1333, tttekun@gmail.com
RM WIRE INDUSTRIES SDN BHD, 07-358 2982, 07-352 8525, tonglee@tonglee.com.my
SIN FUAT HARDWARE (M) SDN BHD, 07-558 1101, 07-558 9101, tskhw@tsk-group.com
SEE AH HOI, 07-861 6321 |  016-733 0338, 07-861 5152, thchan63@gmail.com
SOON YIEN PENJUAL ALATAN MEMBENA BANGUNAN, 07-354 7733, 07-354 7777, tingleyjb@hotmail.com
SEE HACK CEMENT PRODUCTS SDN BHD, 06-951 9352, 06-952 1618, tansaent@yahoo.com
SENG MUI ENTERPRISE SDN BHD, 07-234 0288, 07-234 0388, plssckun@gmail.com
SIANG FATT SDN BHD, 07-355 6511 |  07-352 5512, 07-355 6512, ttmclim@tm.net.my
SOLID CONNECTION SDN BHD, 07-883 1566, 07-883 1566, ttmclim@ttmcwelding.com
SOON BUILDING MATERIALS SDN BHD, 07-236 3609 |  07-237 8288, 07-237 0501, taionn32@hotmail.com
STECO ENGINEERING TRADING COMPANY, 07-556 2318, 07-557 2318, bctanuci@yahoo.com
SIN LAI HUAT HARDWARE SDN BHD, 07-355 2139 |  012-722 7252, 07-355 2158, utpaint@hotmail.com
SYE YI TRADING CO. SDN BHD, 07-663 2963, 07-663 2688, upoh7622@yahoo.com
SAKTHI HARDWARE MASAI SDN BHD, 07-663 1394, 07-663 5370, vadeansb@yahoo.com
SUNLIGHT HARDWARE SDN BHD, 07-355 5128, 07-356 2111, sales@wanfy.com
SLS BOLTS & NUTS (JB) SDN BHD, 07-353 9731 |  07-353 9732, 07-355 9735, wellmacjb@gmail.com
SANIBEL TRADING, 07-510 1177 |  07-510 1416, 07-510 1177, wsmarketingsdnbhd@gmail.com
SNS RELIANCE BUILDMART SDN BHD, 07-520 6290, 07-6621660, enquiry@watasan.com.my
SZE LEONG HARDWARE & TRADING SDN BHD, 07-6622080, 07-883 1085, watasan4421@hotmail.com
STEMACH ENGINEERING TRADING SDN BHD, 07-883 4296, 07-351 8010, raykhong2000@yahoo.com
SING LEE SIANG TIMBER & TRADING SDN BHD, 07-351 7737, 06-954 0388 | 06-954 1590 |  06-953 7072 |  06-952 6591, w.hongguan@gmail.com
SUDUT SWASTA SELATAN SDN BHD, 06-953 7043 |  06-954 0368, 07-364 4366, cklim@wellgometal.com
SYARIKAT ACMES INDUSTIRAL EQUIPMENT SDN BHD, 07-364 4311, 07-237 0705 |  07-237 0130, xinlian15@gmail.com
SYARIKAT KEK SIANG, 07-237 2371, 07-556 6118 |  07-557 7118, enquiry@yickhoegroup.com
ÄÏÈª¹«Ë¾, 07-557 7119, 07-236 3122 |  07-236 1995, enquiry@yickhoegroup.comjovyn.limcs@yickhoegroup.comandy.low@yickhoegroup.com
SYARIKAT NAM CHUAN, 07-236 9400, 07-388 2811, lenhong@gmail.com
SYARIKAT NANYANG, 07-388 2812, 07-354 4033 |  07-354 4034, bcneo0505@gmail.com
SYARIKAT PERNIANGAAN KIM SOON, 07-354 8104, 07-354 2616 |  07-354 2933, yuewhatt@gmail.com
SYARIKAT PERNIAGAAN WING LEE, 07-354 5281, 07-251 3718, yhguheng@yahoo.com
ÁªÐËÄ¾Æ÷ÃÅ¶·¹«Ë¾, 07-251 2798, 07-663 6908, bhloh@ykhardware.com.my
SYARIKAT TUKANG KAYU LIAN HENG, 07-663 6908, 07-599 6333, yhtc@streamyx.com
SENG DATT HARDWARE (M) SDN BHD, 07-598 1618, 07-861 7711, yubinasb@gmail.com
S.H. HARDWARE INDUSTRIES (M) SDN BHD, 07-861 1177, 07-236 1988 |  07-234 7988, japshine@live.com
SYARIKAT LOGAM & BAHAN PEMBINAAN TAI SENG SDN BHD, 07-236 1889, 07-861 2025 |  07-863 5025, zowietanyw@hotmail.com
SINAR HARDWARE MARKETING SDN BHD, 07-861 2025, 07-861 2025 |  07-863 5025, bannhsienyeo@gmail.com
SMART DEER HARDWARE SDN BHD, 07-861 2025, 07-861 2025 |  07-863 5025, zinkuan@yahoo.com
SIN V TRADING SDN BHD, 07-861 2025, 07-237 1336 |  07-236 3287, chinheng5404@yahoo.com
